wavelength_nm,intensity
166.87181,1.0424e-09
167.00885,9.9822e-10
167.1459,9.666e-10
167.28294,1.0446e-09
167.42,1.1162e-09
167.55704,1.1455e-09
167.69409,1.2241e-09
167.83115,1.2803e-09
167.9682,1.2407e-09
168.10526,1.1919e-09
168.24231,1.2509e-09
168.37936,1.2674e-09
168.51642,1.2131e-09
168.65347,1.1274e-09
168.79056,1.1136e-09
168.92761,1.1237e-09
169.06467,1.149e-09
169.20175,1.1669e-09
169.3388,1.1149e-09
169.47588,1.0722e-09
169.61295,1.1008e-09
169.75003,1.0882e-09
169.8871,1.0765e-09
170.02417,1.0878e-09
170.16124,1.1369e-09
170.29832,1.129e-09
170.4354,1.1228e-09
170.57248,1.1106e-09
170.70956,1.1068e-09
170.84665,1.1175e-09
170.98373,1.1002e-09
171.12082,1.1055e-09
171.2579,1.1224e-09
171.39499,1.1572e-09
171.53209,1.096e-09
171.66917,9.5752e-10
171.80627,8.7823e-10
171.94337,9.8343e-10
172.08047,9.9971e-10
172.21756,9.8045e-10
172.35466,9.6418e-10
172.49176,1.009e-09
172.62886,1.0429e-09
172.76596,1.0627e-09
172.90306,1.0674e-09
173.04018,1.0711e-09
173.17728,1.0904e-09
173.31439,1.1131e-09
173.4515,1.1301e-09
173.58861,1.1224e-09
173.72572,1.111e-09
173.86282,1.0718e-09
173.99995,1.0653e-09
174.13705,1.0546e-09
174.27419,1.1122e-09
174.4113,1.1481e-09
174.54843,1.1289e-09
174.68555,1.0744e-09
174.82266,1.083e-09
174.9598,1.0794e-09
175.09691,1.0183e-09
175.23404,1.0286e-09
175.37117,1.0627e-09
175.5083,1.1159e-09
175.64542,1.1349e-09
175.78256,1.0981e-09
175.9197,1.0716e-09
176.05682,1.0461e-09
176.19395,1.0665e-09
176.3311,1.0499e-09
176.46823,1.04e-09
176.60538,1.0371e-09
176.74252,1.006e-09
176.87967,1.0212e-09
177.0168,1.0606e-09
177.15395,1.0607e-09
177.29109,1.0684e-09
177.42824,1.0799e-09
177.5654,1.0659e-09
177.70255,1.0615e-09
177.83969,1.0591e-09
177.97684,1.0491e-09
178.11398,1.0259e-09
178.25114,1.0254e-09
178.3883,1.0235e-09
178.52547,1.019e-09
178.66263,1.0297e-09
178.79977,1.0104e-09
178.93694,1.0018e-09
179.0741,9.7919e-10
179.21127,9.6236e-10
179.34842,9.7486e-10
179.4856,1.0039e-09
179.62276,1.008e-09
179.75992,1.0003e-09
179.8971,1.0076e-09
180.03427,1.0187e-09
180.17143,1.0079e-09
180.30861,9.9102e-10
180.44577,9.5291e-10
180.58296,9.6856e-10
180.72012,9.4432e-10
180.85732,9.3984e-10
180.99448,9.367e-10
181.13167,9.5036e-10
181.26884,9.7311e-10
181.40604,1.0051e-09
181.54321,9.926e-10
181.68039,9.9131e-10
181.81758,9.8819e-10
181.95477,9.5382e-10
182.09195,9.8783e-10
182.22916,9.9573e-10
182.36633,1.0055e-09
182.50352,9.9533e-10
182.64072,9.5704e-10
182.77791,9.5441e-10
182.9151,9.7762e-10
183.05229,9.8987e-10
183.1895,1.0232e-09
183.32669,1.0392e-09
183.4639,1.0494e-09
183.6011,1.0267e-09
183.7383,9.9936e-10
183.8755,9.7303e-10
184.0127,9.4948e-10
184.1499,9.404e-10
184.28711,9.4121e-10
184.42432,9.5278e-10
184.56152,9.5103e-10
184.69873,9.6189e-10
184.83594,9.6309e-10
184.97316,9.4749e-10
185.11037,9.2679e-10
185.24757,9.2241e-10
185.3848,8.9341e-10
185.522,9.1461e-10
185.65921,9.5356e-10
185.79643,9.4321e-10
185.93365,9.3027e-10
186.07088,9.0039e-10
186.2081,9.0307e-10
186.3453,9.3075e-10
186.48254,9.6582e-10
186.61977,9.7734e-10
186.75699,9.6924e-10
186.89421,9.3066e-10
187.03145,9.1186e-10
187.16867,8.8634e-10
187.3059,8.4105e-10
187.44313,8.1808e-10
187.58035,8.621e-10
187.71759,9.1709e-10
187.85483,9.4775e-10
187.99205,9.5405e-10
188.12929,9.2566e-10
188.26653,8.8763e-10
188.40376,8.499e-10
188.541,8.6488e-10
188.67824,8.8017e-10
188.81548,8.8063e-10
188.95273,8.9803e-10
189.08995,8.94e-10
189.2272,8.9351e-10
189.36444,8.9142e-10
189.50168,8.8019e-10
189.63893,8.9288e-10
189.77618,9.0526e-10
189.91342,9.0217e-10
190.05067,9.0285e-10
190.18793,9.0746e-10
190.32516,9.0976e-10
190.46243,9.0699e-10
190.59969,9.0197e-10
190.73692,8.7128e-10
190.87418,8.7688e-10
191.01144,8.8602e-10
191.1487,8.9627e-10
191.28595,8.7576e-10
191.4232,8.4788e-10
191.56047,8.6166e-10
191.69772,8.5889e-10
191.83499,8.4724e-10
191.97226,8.3546e-10
192.10951,8.1888e-10
192.24678,7.6671e-10
192.38405,7.764e-10
192.5213,8.138e-10
192.65857,8.2028e-10
192.79584,8.3021e-10
192.9331,8.275e-10
193.07037,8.4276e-10
193.20764,8.6723e-10
193.34491,8.8972e-10
193.4822,8.7355e-10
193.61946,8.5102e-10
193.75673,8.3326e-10
193.89401,8.3977e-10
194.03128,8.5255e-10
194.16855,8.6572e-10
194.30583,8.4202e-10
194.4431,8.1984e-10
194.58038,8.2622e-10
194.71767,8.4466e-10
194.85495,8.4782e-10
194.99222,8.2891e-10
195.1295,8.1816e-10
195.26678,7.8912e-10
195.40408,7.6126e-10
195.54135,7.8079e-10
195.67863,7.8688e-10
195.81593,7.8168e-10
195.95322,7.7558e-10
196.0905,7.8569e-10
196.22778,8.006e-10
196.36508,7.7875e-10
196.50237,7.7647e-10
196.63966,7.8334e-10
