Wavelength(nm),Irradiance_Mar_25-29
0.05,4.6174e-13
0.15,1.2522e-09
0.25,1.2243e-08
0.35,6.2422e-08
0.45,1.6844e-07
0.55,5.3942e-07
0.65,2.3024e-06
0.75,1.2921e-06
0.85,1.4841e-06
0.95,6.9433e-06
1.05,4.7671e-06
1.15,6.9785e-06
1.25,1.2445e-05
1.35,1.962e-05
1.45,2.2889e-05
1.55,4.3836e-05
1.65,4.1049e-05
1.75,3.9101e-05
1.85,4.8086e-05
1.95,1.6071e-05
2.05,4.0159e-06
2.15,0.00015229
2.25,5.5924e-06
2.35,3.3558e-06
2.45,1.6596e-05
2.55,4.2792e-06
2.65,6.199e-06
2.75,4.3652e-06
2.85,2.2244e-05
2.95,1.1949e-05
3.05,6.3926e-06
3.15,5.6914e-06
3.25,7.1014e-06
3.35,5.0471e-05
3.45,9.9283e-06
3.55,9.6062e-06
3.65,8.1259e-06
3.75,3.9162e-06
3.85,3.7193e-06
3.95,1.1709e-05
4.05,0.00012321
4.15,5.2452e-06
4.25,1.7541e-05
4.35,2.1619e-05
4.45,2.5986e-05
4.55,1.2612e-05
4.65,3.4666e-05
4.75,2.514e-05
4.85,1.4457e-05
4.95,2.1922e-05
5.05,6.4127e-05
5.15,5.1296e-06
5.25,2.6656e-05
5.35,7.8969e-06
5.45,2.1755e-05
5.55,6.7688e-05
5.65,2.6836e-05
5.75,3.452e-05
5.85,2.8342e-06
5.95,1.0189e-05
6.05,2.7754e-05
6.15,3.796e-05
6.25,3.1086e-05
6.35,3.1504e-05
6.45,1.8977e-05
6.55,1.8839e-05
6.65,2.6225e-05
6.75,2.9758e-05
6.85,1.4837e-05
6.95,4.8913e-05
7.05,3.9206e-05
7.15,2.8274e-05
7.25,4.8682e-05
7.35,2.8788e-05
7.45,3.6528e-05
7.55,3.5795e-05
7.65,2.2345e-05
7.75,2.7924e-05
7.85,2.5156e-05
7.95,2.0803e-05
8.05,1.8887e-05
8.15,3.5089e-05
8.25,4.2359e-05
8.35,4.4787e-05
8.45,3.0196e-05
8.55,2.3129e-05
8.65,2.9863e-05
8.75,3.0233e-05
8.85,2.6821e-05
8.95,2.4871e-05
9.05,2.4658e-05
9.15,3.1587e-05
9.25,2.6889e-05
9.35,3.324e-05
9.45,2.5332e-05
9.55,4.1044e-05
9.65,3.6379e-05
9.75,3.0343e-05
9.85,3.1558e-05
9.95,1.8548e-05
10.05,2.8222e-05
10.15,2.4556e-05
10.25,3.0913e-05
10.35,4.4727e-05
10.45,2.4433e-05
10.55,2.491e-05
10.65,1.6602e-05
10.75,1.2398e-05
10.85,1.4149e-05
10.95,8.8112e-06
11.05,1.1732e-05
11.15,2.5567e-05
11.25,1.6411e-05
11.35,2.1721e-05
11.45,1.9067e-05
11.55,1.7898e-05
11.65,2.3718e-05
11.75,1.7782e-05
11.85,1.1119e-05
11.95,1.078e-05
12.05,8.8354e-06
12.15,9.2986e-06
12.25,1.2529e-05
12.35,1.1364e-05
12.45,6.718e-06
12.55,5.1017e-06
12.65,4.2897e-06
12.75,9.0934e-06
12.85,7.514e-06
12.95,1.0904e-05
13.05,1.6538e-05
13.15,1.8623e-05
13.25,8.0461e-06
13.35,8.66e-06
13.45,9.1045e-06
13.55,6.3187e-06
13.65,8.6488e-06
13.75,7.8333e-06
13.85,8.3614e-06
13.95,8.1205e-06
14.05,1.1418e-05
14.15,9.1581e-06
14.25,7.1337e-06
14.35,1.1464e-05
14.45,2.5189e-05
14.55,2.2275e-05
14.65,1.2741e-05
14.75,1.926e-05
14.85,5.4187e-05
14.95,2.3636e-05
15.05,2.5727e-05
15.15,1.7972e-05
15.25,1.8246e-05
15.35,9.004e-06
15.45,1.1834e-05
15.55,7.1359e-06
15.65,5.8491e-06
15.75,9.8487e-06
15.85,1.6646e-05
15.95,1.2441e-05
16.05,1.1911e-05
16.15,5.2295e-06
16.25,7.7148e-06
16.35,4.9454e-06
16.45,6.9623e-06
16.55,1.1392e-05
16.65,1.0575e-05
16.75,6.6961e-05
16.85,9.6661e-05
16.95,6.1351e-05
17.05,0.00055208
17.15,0.00053412
17.25,4.7673e-05
17.35,5.7922e-05
17.45,0.0006764
17.55,0.00013049
17.65,0.00015327
17.75,0.00036227
17.85,4.3907e-05
17.95,6.8292e-05
18.05,0.00044647
18.15,6.3162e-05
18.25,7.2908e-05
18.35,3.4635e-05
18.45,0.00020136
18.55,7.4693e-05
18.65,8.1841e-05
18.75,0.0001027
18.85,0.00033315
18.95,7.4129e-05
19.05,7.131e-05
19.15,4.6444e-05
19.25,0.00014355
19.35,0.00017793
19.45,0.00010681
19.55,0.000175
19.65,3.4901e-05
19.75,3.7087e-05
19.85,4.3289e-05
19.95,1.9291e-05
20.05,3.0517e-05
20.15,7.8833e-05
20.25,9.6195e-05
20.35,4.2951e-05
20.45,2.8367e-05
20.55,1.8807e-05
20.65,3.0415e-05
20.75,4.679e-05
20.85,2.9399e-05
20.95,3.8737e-05
21.05,2.9964e-05
21.15,4.2516e-05
21.25,2.0264e-05
21.35,1.7621e-05
21.45,2.895e-05
21.55,2.4165e-05
21.65,5.7767e-05
21.75,6.0994e-05
21.85,3.8481e-05
21.95,4.2965e-05
22.05,5.9071e-05
22.15,4.193e-05
22.25,3.5123e-05
22.35,5.2942e-05
22.45,0.00010257
22.55,0.00010042
22.65,0.00012214
22.75,9.1087e-05
22.85,5.5793e-05
22.95,3.7329e-05
23.05,5.2122e-05
23.15,3.2118e-05
23.25,3.3323e-05
23.35,6.3612e-05
23.45,7.0919e-05
23.55,2.8122e-05
23.65,3.3044e-05
23.75,4.9243e-05
23.85,4.6033e-05
23.95,1.7248e-05
24.05,3.8233e-05
24.15,0.00013427
24.25,8.9688e-05
24.35,4.9589e-05
24.45,5.45e-05
24.55,3.7272e-05
24.65,2.1827e-05
24.75,2.6756e-05
24.85,2.1692e-05
24.95,1.4946e-05
25.05,7.8219e-06
25.15,1.8011e-05
25.25,1.4498e-05
25.35,2.1061e-05
25.45,2.9564e-05
25.55,5.1551e-05
25.65,0.00031095
25.75,0.00020363
25.85,7.5902e-05
25.95,3.1156e-05
26.05,2.3132e-05
26.15,2.433e-05
26.25,4.0351e-06
26.35,1.3175e-05
26.45,4.0897e-05
26.55,9.1016e-06
26.65,1.1609e-05
26.75,4.0061e-06
26.85,3.4543e-06
26.95,4.4038e-06
27.05,1.2418e-05
27.15,2.3413e-05
27.25,3.1714e-05
27.35,8.2719e-06
27.45,2.0076e-05
27.55,3.7562e-05
27.65,4.522e-05
27.75,4.8207e-05
27.85,3.1502e-05
27.95,1.2839e-05
28.05,1.0333e-05
28.15,5.7933e-06
28.25,8.0463e-06
28.35,3.1913e-05
28.45,5.0204e-05
28.55,9.2295e-06
28.65,6.2632e-06
28.75,2.3606e-06
28.85,4.157e-06
28.95,6.1801e-06
29.05,2.2215e-05
29.15,9.4529e-06
29.25,4.0511e-05
29.35,1.4583e-05
29.45,4.8522e-06
29.55,2.3699e-05
29.65,5.5036e-05
29.75,3.0894e-06
29.85,2.1874e-06
29.95,2.938e-06
30.05,5.5564e-06
30.15,4.2233e-06
30.25,2.0545e-05
30.35,0.0053495
30.45,0.0011361
30.55,2.9724e-05
30.65,1.5764e-05
30.75,1.0081e-05
30.85,1.6695e-05
30.95,6.2729e-06
31.05,4.0876e-06
31.15,2.8931e-05
31.25,2.6232e-05
31.35,4.9554e-05
31.45,9.1603e-05
31.55,7.739e-05
31.65,7.0767e-05
31.75,2.1408e-05
31.85,1.0068e-05
31.95,7.6361e-05
32.05,5.2335e-05
32.15,8.3281e-06
32.25,6.5217e-06
32.35,5.9805e-06
32.45,4.1693e-06
32.55,4.6919e-06
32.65,8.0543e-06
32.75,4.6224e-06
32.85,1.0727e-05
32.95,4.0808e-06
33.05,3.5272e-06
33.15,3.0543e-06
33.25,2.746e-05
33.35,1.5006e-05
33.45,2.3241e-05
33.55,7.7476e-05
33.65,6.5794e-06
33.75,8.1653e-06
33.85,2.127e-05
33.95,1.7707e-05
34.05,8.2076e-06
34.15,4.3071e-05
34.25,5.4189e-05
34.35,3.9983e-06
34.45,2.493e-05
34.55,9.9956e-05
34.65,2.3635e-05
34.75,9.3788e-05
34.85,3.6363e-05
34.95,7.8303e-05
35.05,4.9549e-05
35.15,1.3059e-05
35.25,8.2025e-05
35.35,2.0016e-05
35.45,2.7964e-05
35.55,2.1029e-05
35.65,3.8423e-05
35.75,6.9278e-06
35.85,2.6664e-05
35.95,3.0505e-05
36.05,4.199e-05
36.15,1.7423e-05
36.25,4.9322e-06
36.35,7.6586e-06
36.45,5.7898e-05
36.55,4.423e-05
36.65,6.155e-06
36.75,0.00014836
36.85,0.00026948
36.95,2.0141e-05
37.05,3.8581e-06
37.15,4.0119e-06
37.25,3.4514e-06
37.35,1.0737e-05
37.45,1.6142e-05
37.55,3.6426e-06
37.65,1.9538e-05
37.75,5.7513e-06
37.85,3.9486e-06
37.95,8.1533e-06
38.05,3.8839e-06
38.15,4.364e-06
38.25,4.1888e-06
38.35,6.2476e-06
38.45,7.1114e-06
38.55,4.7176e-06
38.65,3.8727e-06
38.75,4.5283e-06
38.85,4.3368e-06
38.95,5.1215e-06
39.05,5.4821e-06
39.15,4.1354e-06
39.25,5.9569e-06
39.35,3.9126e-06
39.45,3.5275e-06
39.55,4.8993e-06
39.65,3.2752e-06
39.75,3.3258e-06
39.85,3.5374e-06
39.95,7.6886e-06
40.05,1.0849e-05
40.15,1.922e-05
40.25,1.2832e-05
40.35,8.6822e-06
40.45,2.4135e-06
40.55,2.83e-06
40.65,3.6316e-06
40.75,3.1104e-06
40.85,2.8233e-06
40.95,2.6846e-06
41.05,4.7069e-06
41.15,5.4099e-06
41.25,2.8846e-06
41.35,2.5472e-06
41.45,3.0797e-06
41.55,4.9288e-06
41.65,8.9919e-06
41.75,4.8279e-06
41.85,3.9921e-06
41.95,8.3448e-06
42.05,3.6078e-06
42.15,3.8138e-06
42.25,2.5615e-06
42.35,2.5835e-06
42.45,2.4453e-06
42.55,2.3953e-06
42.65,2.51e-06
42.75,2.8732e-06
42.85,4.0595e-06
42.95,8.1149e-06
43.05,3.0644e-05
43.15,9.7453e-06
43.25,3.0516e-06
43.35,4.6114e-06
43.45,1.5056e-05
43.55,1.5764e-05
43.65,4.1416e-05
43.75,1.2567e-05
43.85,3.4103e-06
43.95,3.5733e-06
44.05,3.3826e-06
44.15,2.7248e-06
44.25,2.8564e-06
44.35,8.9066e-06
44.45,6.3185e-06
44.55,2.9775e-06
44.65,3.1065e-06
44.75,3.8233e-06
44.85,4.2369e-06
44.95,2.2175e-06
45.05,2.5425e-06
45.15,3.1868e-06
45.25,3.5837e-06
45.35,2.4967e-06
45.45,2.4942e-06
45.55,2.7068e-06
45.65,3.2114e-06
45.75,3.0801e-06
45.85,4.0814e-06
45.95,1.3049e-05
46.05,6.3881e-06
46.15,4.6804e-06
46.25,4.5626e-06
46.35,3.6963e-06
46.45,4.5448e-05
46.55,0.00010696
46.65,1.2522e-05
46.75,3.6493e-06
46.85,3.9979e-06
46.95,9.359e-06
47.05,7.3949e-06
47.15,4.3733e-06
47.25,4.3451e-06
47.35,4.8403e-06
47.45,4.4594e-06
47.55,5.6614e-06
47.65,5.3345e-06
47.75,5.5914e-06
47.85,5.7276e-06
47.95,6.6508e-06
48.05,9.6504e-06
48.15,1.2436e-05
48.25,1.3505e-05
48.35,1.2856e-05
48.45,8.4786e-06
48.55,9.7992e-06
48.65,1.1316e-05
48.75,1.1392e-05
48.85,1.2979e-05
48.95,1.6897e-05
49.05,1.385e-05
49.15,1.4161e-05
49.25,1.4082e-05
49.35,1.5106e-05
49.45,1.5153e-05
49.55,1.5691e-05
49.65,1.5846e-05
49.75,1.8979e-05
49.85,2.7302e-05
49.95,4.3107e-05
50.05,2.674e-05
50.15,2.1574e-05
50.25,2.1535e-05
50.35,2.2295e-05
50.45,2.2164e-05
50.55,1.6656e-05
50.65,1.4513e-05
50.75,3.4849e-05
50.85,3.0055e-05
50.95,7.8428e-06
51.05,5.7284e-06
51.15,5.9676e-06
51.25,6.8279e-06
51.35,9.1595e-07
51.45,1.8457e-06
51.55,1.1698e-05
51.65,1.9058e-06
51.75,9.7619e-07
51.85,1.9231e-06
51.95,3.9996e-06
52.05,1.1074e-05
52.15,1.6056e-05
52.25,1.8682e-05
52.35,1.3423e-06
52.45,1.8938e-06
52.55,2.1411e-05
52.65,7.1445e-06
52.75,1.1308e-06
52.85,8.6002e-07
52.95,1.0782e-06
53.05,1.1102e-06
53.15,7.7257e-07
53.25,8.2011e-07
53.35,1.3504e-06
53.45,1.926e-06
53.55,2.3701e-06
53.65,3.9422e-05
53.75,4.1169e-05
53.85,1.7638e-05
53.95,8.6068e-06
54.05,3.0139e-06
54.15,5.7955e-06
54.25,5.226e-06
54.35,7.4994e-06
54.45,4.0794e-06
54.55,9.2477e-07
54.65,7.2642e-07
54.75,1.01e-06
54.85,1.6151e-06
54.95,4.3662e-06
55.05,4.6597e-06
55.15,2.907e-06
55.25,9.254e-06
55.35,7.3073e-05
55.45,0.00017152
55.55,4.5999e-05
55.65,1.9473e-06
55.75,1.2333e-05
55.85,1.7535e-05
55.95,3.1289e-06
56.05,2.2579e-06
56.15,8.0924e-06
56.25,1.8862e-05
56.35,9.0862e-06
56.45,2.6899e-06
56.55,1.5009e-06
56.65,1.1912e-06
56.75,2.2235e-06
56.85,5.5011e-06
56.95,8.5544e-06
57.05,4.0984e-06
57.15,4.9258e-06
57.25,1.1186e-05
57.35,6.7941e-06
57.45,7.0865e-06
57.55,1.2232e-06
57.65,9.2898e-07
57.75,8.3771e-07
57.85,8.1512e-07
57.95,9.9746e-07
58.05,5.1899e-06
